Stock,RMSE,Sharpe_Ratio
AOT,0.308006274261725,0.862955649358335
ADVANC,0.0791276515881039,-0.719975984068863
BANPU,0.377665078378017,0.0136430317855617
BBL,0.177281411088648,-1.75156711480694
BDMS,0.162460742647822,0.308053535739243
BEM,0.238253501208382,-2.87867071917043
BH,1.53149276494225,1.40588820062229
BTS,0.181726212586688,-2.06671931353257
CBG,0.393716586231461,-2.06942657893891
CENTEL,0.306104473615789,0.718049598025714
COM7,0.735623035446443,-3.35274635197242
CPALL,0.103016790674696,0.0671155880648504
CPF,0.375336894535514,1.18520660665152
CPN,0.100504920654665,-0.605495630042763
DELTA,0.761899932848813,-1.9357252782617
EA,0.23987933248058,1.68523336532991
EGCO,0.380944196208753,-1.94738588617518
GLOBAL,0.416476269299031,2.20906570834522
GPSC,0.29645724646568,-1.74076305740178
HMPRO,0.664039660838957,2.01012865589698
INTUCH,0.11873015414692,-1.35051495375359
IVL,0.693969263974055,1.16915075058641
KBANK,0.26750384520348,-0.38570398299751
KTB,0.320523139056732,-3.37107785374193
KTC,0.463845146047262,-1.95175499508542
LH,0.149444585206982,-1.79924044011741
MINT,0.228534909394807,-0.61125346042215
MTC,0.380186168811206,-2.17251009425018
PTT,0.0992548427521702,0.0839429316350135
PTTEP,0.189789168072653,-0.789530368061885
PTTGC,0.203892115282493,0.270365537018731
RATCH,0.115990933681173,-0.718204576196278
SAWAD,0.219537465776277,-1.84117046803139
SCC,0.416125813590464,1.27157857341373
TISCO,0.167832784705372,-1.6282283320088
TOP,0.187366046240659,-0.206167863981785
TTB,0.227773263055735,-1.95477729367741
TU,0.390278123721358,1.50472173020685
WHA,0.541341391080431,0.918591666565991
